"band";"importance";"glass"
"G1767";0,494031896606652;"Glass"
"G1378";0,44068285316787;"Glass"
"B719";0,34531468746169;"Brown"
"G1770";0,318745100475314;"Glass"
"G1367";0,317008763019185;"Glass"
"G1318";0,311305717820425;"Glass"
"G714";0,298292388619581;"Glass"
"G1117";0,295610135321065;"Glass"
"G1385";0,295048600183602;"Glass"
"G1110";0,287842634838952;"Glass"
"G716";0,277469473863799;"Glass"
"B1694";0,27724871409924;"Brown"
"G1419";0,261194903675013;"Glass"
"G1841";0,260634608675643;"Glass"
"B1637";0,258468478760631;"Brown"
"G1480";0,249664283169231;"Glass"
"B2083";0,238653079070253;"Brown"
"B1574";0,236319967288501;"Brown"
"B1913";0,235283415797595;"Brown"
"B1982";0,228400037007437;"Brown"
"B1367";0,227964683313819;"Brown"
"G2003";0,227056886141745;"Glass"
"G1651";0,224386752094876;"Glass"
"G1465";0,224200049442846;"Glass"
"G1848";0,223144361787753;"Glass"
"G1776";0,220143066571381;"Glass"
"G1319";0,21623787905043;"Glass"
"B1942";0,215466715873765;"Brown"
"B1767";0,215046410720344;"Brown"
"G1219";0,213630117921506;"Glass"
"B1419";0,211905284396634;"Brown"
"B1297";0,211405886184366;"Brown"
"B1087";0,21110618186366;"Brown"
"G1533";0,209763622417805;"Glass"
"G775";0,205444887648206;"Glass"
"G894";0,205156898291716;"Glass"
"B1856";0,204232508413667;"Brown"
"G1649";0,203888877100819;"Glass"
"G1631";0,203586644232789;"Glass"
"G668";0,202094337237305;"Glass"
"G1479";0,201931255197046;"Glass"
"G1297";0,201743464188098;"Glass"
"G1921";0,200416995500522;"Glass"
"B894";0,199176136212617;"Brown"
"B1535";0,198831900397126;"Brown"
"G2016";0,19791191998274;"Glass"
"B1480";0,197876950573482;"Brown"
"G672";0,197875985925191;"Glass"
"B892";0,197843618952953;"Brown"
"G538";0,197746847336882;"Glass"
"B1770";0,196138115786433;"Brown"
"B716";0,195857464890469;"Brown"
"G1427";0,195452765979013;"Glass"
"B1181";0,195256176118995;"Brown"
"B1117";0,194938344729474;"Brown"
"B1848";0,194845093006227;"Brown"
"G1637";0,194609574131205;"Glass"
"B1142";0,194489844950371;"Brown"
"B1221";0,194347295940067;"Brown"
"B1015";0,193835580430035;"Brown"
"G841";0,192903905218786;"Glass"
"G1220";0,192880116918911;"Glass"
"G1768";0,192647649854397;"Glass"
"G1229";0,192580680227839;"Glass"
"B1111";0,192307611024253;"Brown"
"G1462";0,191810173788892;"Glass"
"B1584";0,191803464165953;"Brown"
"B1465";0,191527035825645;"Brown"
"G892";0,190189347487818;"Glass"
